	Uniprot ID	Uniprot Subcellular Location	Gene Ontology (Cellular Component)
129	E9Q557	Cell junction|Desmosome|Cell membrane|Localizes at the intercalated disk in cardiomyocytes.	adherens junction|basolateral plasma membrane|cell-cell junction|cornified envelope|cytoplasm|desmosome|fascia adherens|intercalated disc|intermediate filament|plasma membrane
130	P56480	Mitochondrion inner membrane|Peripheral membrane protein|Matrix side	cell surface|membrane raft|mitochondrial inner membrane|mitochondrial nucleoid|mitochondrial proton-transporting ATP synthase complex|mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)|mitochondrion|myelin sheath|plasma membrane|proton-transporting ATP synthase complex, catalytic core F(1)
131	P10126	Cytoplasm|Nucleus|Nucleus|Nucleolus|Cell membrane|Colocalizes with DLC1 at actin-rich regions in the cell periphery. Translocates together with ZPR1 from the cytoplasm to the nucleus and nucleolus after treatment with mitogens. Localization at the cell membrane depends on EEF1A1 phosphorylation status and the presence of PPP1R16B.	cytoplasm|myelin sheath|nucleolus|nucleus|plasma membrane
132	P62631	Nucleus	cytoplasm|eukaryotic translation elongation factor 1 complex|myelin sheath|neuronal cell body|nucleus|synapse
133	P17742	Cytoplasm|Secreted|Nucleus|Secretion occurs in response to oxidative stress in vascular smooth muscle through a vesicular secretory pathway that involves actin remodeling and myosin II activation, and mediates ERK1/2 activation.	cytoplasm|cytosol|extracellular region|extracellular space|myelin sheath|nucleus|protein-containing complex
134	P62908	Cytoplasm|Nucleus|Nucleus|Nucleolus|Mitochondrion inner membrane|Peripheral membrane protein|Cytoplasm|Cytoskeleton|Spindle|In normal cells, located mainly in the cytoplasm with small amounts in the nucleus but translocates to the nucleus in cells undergoing apoptosis. Nuclear translocation is also induced by DNA damaging agents such as hydrogen peroxide (By similarity). Accumulates in the mitochondrion in response to increased ROS levels (By similarity). Localizes to the spindle during mitosis (By similarity). Localized in cytoplasmic mRNP granules containing untranslated mRNAs (By similarity).	cytoplasm|cytosol|cytosolic small ribosomal subunit|dendrite|endoplasmic reticulum|mitochondrial inner membrane|mitochondrial matrix|mitotic spindle|NF-kappaB complex|nucleolus|nucleus|postsynapse|postsynaptic density|ribonucleoprotein complex|ribosome|ruffle membrane|synapse
135	P03995	Cytoplasm|Associated with intermediate filaments.	astrocyte end-foot|astrocyte projection|cell body|cell projection|cytoplasm|cytoplasmic side of lysosomal membrane|cytoskeleton|glial cell projection|intermediate filament|membrane|myelin sheath
136	A0A075B5J9	Not found Uniprot Annotation	extracellular space
137	A0A075B5K3	Not found Uniprot Annotation	extracellular space
138	P07724	Secreted	basement membrane|blood microparticle|cytoplasm|endoplasmic reticulum|extracellular exosome|extracellular region|extracellular space|Golgi apparatus|myelin sheath|protein-containing complex
139	P62196	Cytoplasm|Nucleus	cytoplasm|cytoplasmic vesicle|cytosolic proteasome complex|inclusion body|nuclear proteasome complex|nucleus|postsynapse|proteasome accessory complex|proteasome complex|proteasome regulatory particle|proteasome regulatory particle, base subcomplex|transcription factor TFIIH holo complex
140	O35593	Not found Uniprot Annotation	cytosolic proteasome complex|nucleus|proteasome accessory complex|proteasome complex|proteasome regulatory particle, lid subcomplex
141	Q9QZ47	Not found Uniprot Annotation	troponin complex
142	O88346	Not found Uniprot Annotation	troponin complex
143	P17182	Cytoplasm|Cell membrane|Can translocate to the plasma membrane in either the homodimeric (alpha/alpha) or heterodimeric (alpha/gamma) form (By similarity). ENO1 is localized to the M-band.	cell cortex|cell surface|cytoplasm|cytosol|growth cone|membrane raft|myelin sheath|phosphopyruvate hydratase complex|plasma membrane|synaptic membrane
144	Q03265	Mitochondrion inner membrane|Peripheral membrane protein|Matrix side|Cell membrane|Peripheral membrane protein|Extracellular side|Colocalizes with HRG on the cell surface of T-cells.	cell surface|COP9 signalosome|membrane|membrane raft|mitochondrial inner membrane|mitochondrial proton-transporting ATP synthase complex|mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)|mitochondrial proton-transporting ATP synthase, catalytic core|mitochondrion|myelin sheath|plasma membrane|proton-transporting ATP synthase complex, catalytic core F(1)
145	O88992	Secreted	cerebellar climbing fiber to Purkinje cell synapse|climbing fiber|collagen trimer|cytoplasm|presynapse|synaptic cleft
146	A0A2R8VHP3	Not found Uniprot Annotation	extracellular space|keratin filament
147	Q9R0Y5	Cytoplasm	cytoplasm|cytosol|outer dense fiber|perinuclear region of cytoplasm|sarcomere|sperm flagellum
148	P07356	Secreted|Extracellular space|Extracellular matrix|Basement membrane|Melanosome|In the lamina beneath the plasma membrane.	AnxA2-p11 complex|basement membrane|basolateral plasma membrane|cell cortex|cell surface|collagen-containing extracellular matrix|cornified envelope|cytoplasm|cytosol|early endosome|extracellular exosome|extracellular space|late endosome membrane|lipid droplet|lysosomal membrane|macropinosome|melanosome|membrane|membrane raft|midbody|myelin sheath adaxonal region|nuclear matrix|PCSK9-AnxA2 complex|perinuclear region of cytoplasm|plasma membrane|plasma membrane protein complex|protein-containing complex|RNA polymerase II transcription regulator complex|ruffle|sarcolemma|Schmidt-Lanterman incisure|vesicle
149	P97461	Cytoplasm|Nucleus|Nucleolus	cytoplasm|cytosol|cytosolic small ribosomal subunit|nucleolus|postsynapse|presynapse|ribonucleoprotein complex|ribosome|small-subunit processome|synapse
150	P09542	Not found Uniprot Annotation	A band|I band|myosin complex|myosin II complex
151	P05977	Not found Uniprot Annotation	contractile fiber|myofibril|myosin II complex
152	Q60605	Not found Uniprot Annotation	myosin complex|myosin II complex|unconventional myosin complex
153	P38647	Mitochondrion|Nucleus|Nucleolus|Cytoplasm|Mitochondrion matrix	cytoplasm|mitochondrial matrix|mitochondrial nucleoid|mitochondrion|myelin sheath|nucleolus|nucleus
154	P01867	Isoform 1|Cell membrane|Single-pass membrane protein	blood microparticle|extracellular exosome|extracellular region|extracellular space|immunoglobulin complex, circulating|plasma membrane
155	Q8CFR0	Secreted	cerebellar climbing fiber to Purkinje cell synapse|collagen trimer|extracellular region|glutamatergic synapse|hippocampal mossy fiber to CA3 synapse|protein-containing complex|synaptic cleft
156	Q9ESN4	Secreted	collagen trimer|extracellular region|glutamatergic synapse|hippocampal mossy fiber to CA3 synapse|synaptic cleft
157	Q9CPN9	Not found Uniprot Annotation	extracellular space
158	P02088	Not found Uniprot Annotation	blood microparticle|haptoglobin-hemoglobin complex|hemoglobin complex|myelin sheath
159	P02104	Not found Uniprot Annotation	blood microparticle|haptoglobin-hemoglobin complex|hemoglobin complex
160	A8DUK4	Not found Uniprot Annotation	blood microparticle|haptoglobin-hemoglobin complex|hemoglobin complex
161	P02089	Not found Uniprot Annotation	blood microparticle|haptoglobin-hemoglobin complex|hemoglobin complex
162	Q9WTI7	Cytoplasm|Nucleus|Cytoplasm|Cell cortex|Cell projection|Stereocilium membrane|Cytoplasmic vesicle|Cell projection|Ruffle membrane|Colocalizes with CABP1 and CIB1 at cell margin, membrane ruffles and punctate regions on the cell membrane (PubMed:17994197). Colocalizes in adipocytes with GLUT4 at actin-based membranes (PubMed:12490950). Colocalizes with GLUT4 at insulin-induced ruffles at the cell membrane (PubMed:22918957). Localizes transiently at cell membrane to region known to be enriched in PIP2 (PubMed:16492791). Activation of phospholipase C results in its redistribution to the cytoplasm (PubMed:16492791). Colocalizes with RNA polymerase II (By similarity). Translocates to nuclear speckles upon exposure to inhibitors of RNA polymerase II transcription (By similarity).	actin cytoskeleton|B-WICH complex|basal plasma membrane|brush border|cell cortex|cytoplasm|cytoplasmic vesicle membrane|cytosol|filamentous actin|lateral plasma membrane|membrane|membrane raft|microvillus|myosin complex|nuclear body|nucleolus|phagocytic vesicle|plasma membrane|ruffle membrane|stereocilium|stereocilium bundle|stereocilium membrane
163	Q01149	Secreted|Extracellular space|Extracellular matrix	collagen trimer|collagen type I trimer|collagen type IV trimer|collagen-containing extracellular matrix|extracellular space
164	Q8BMS1	Mitochondrion|Mitochondrion inner membrane|Protein stability and association with mitochondrion inner membrane do not require HADHB.	mitochondrial fatty acid beta-oxidation multienzyme complex|mitochondrial inner membrane|mitochondrial nucleoid|mitochondrion
165	P21550	Cytoplasm|Localized to the Z line. Some colocalization with CKM at M-band (By similarity).	cytosol|phosphopyruvate hydratase complex|plasma membrane
166	Q02257	Cell junction|Adherens junction|Cell junction|Desmosome|Cytoplasm|Cytoskeleton|Cell membrane|Peripheral membrane protein|Cytoplasm|Cell junction|Nucleus|Cytoplasmic in a soluble and membrane-associated form.	adherens junction|apicolateral plasma membrane|catenin complex|cell-cell junction|cornified envelope|cytoplasm|cytoplasmic side of plasma membrane|cytosol|desmosome|fascia adherens|gamma-catenin-TCF7L2 complex|intermediate filament|lateral plasma membrane|nucleus|plasma membrane|protein-DNA complex|Z disc
167	P61021	Cell membrane|Lipid-anchor|Cytoplasmic side|Early endosome membrane|Lipid-anchor|Melanosome	early endosome|early endosome membrane|endocytic vesicle|endomembrane system|extracellular exosome|Golgi apparatus|melanosome|plasma membrane|synaptic vesicle membrane
168	Q9DBJ1	Not found Uniprot Annotation	cytosol|myelin sheath
169	O70250	Not found Uniprot Annotation	cytosol
170	Q792Z1	Not found Uniprot Annotation	collagen-containing extracellular matrix|extracellular space
171	Q6IFZ8	Not found Uniprot Annotation	extracellular space|keratin filament
172	P17183	Cytoplasm|Cell membrane|Can translocate to the plasma membrane in either the homodimeric (alpha/alpha) or heterodimeric (alpha/gamma) form.	cell cortex|cell surface|cytoplasm|growth cone|membrane raft|myelin sheath|neuronal cell body|perikaryon|phosphopyruvate hydratase complex|photoreceptor inner segment|synaptic membrane
173	P10639	Nucleus|Cytoplasm|Secreted|Translocates from the cytoplasm into the nucleus after phorbol 12-myristate 13-acetate induction (PMA). Predominantly in the cytoplasm in non irradiated cells. Radiation induces translocation of TRX from the cytoplasm to the nucleus. Secreted by a leaderless secretory pathway.	axon|cytoplasm|cytosol|dendrite|extracellular region|mitochondrion|neuronal cell body|nucleoplasm|nucleus
174	Q8CGK7	Not found Uniprot Annotation	cytoplasm|heterotrimeric G-protein complex|plasma membrane
175	P60843	Not found Uniprot Annotation	cytosol|eukaryotic translation initiation factor 4F complex
176	P10630	Not found Uniprot Annotation	eukaryotic translation initiation factor 4F complex|perinuclear region of cytoplasm
177	Q62082	Not found Uniprot Annotation	cytoplasm|mitochondrion
178	P35979	Cytoplasm	cytoplasm|cytosol|cytosolic large ribosomal subunit|nucleolus|nucleus|postsynapse|postsynaptic density|presynapse|ribosome|synapse
179	F8VPN2	Cytoplasm|Nucleus	cytoplasm|nucleus
180	Q8VHS6	Not found Uniprot Annotation	T-tubule
181	P07310	Cytoplasm	cytoplasm|extracellular space
182	Q9JJD0	Nucleus|Cytoplasm|May be regulated by shuttling of the protein between the cytoplasm and nucleus.	cytosol|nucleoplasm|RNA polymerase II transcription regulator complex|TORC1 complex
183	O35493	Nucleus	nucleus
184	P52480	Isoform M2|Cytoplasm|Nucleus|Translocates to the nucleus in response to various signals, such as EGF receptor activation or apoptotic stimuli. Nuclear translocation is promoted by acetylation by EP300. Deacetylation by SIRT6 promotes its nuclear export in a process dependent of XPO4, thereby suppressing its ability to activate transcription and promote tumorigenesis.	cilium|collagen-containing extracellular matrix|cytoplasm|cytosol|mitochondrion|myelin sheath|nucleus|pyruvate kinase complex|rough endoplasmic reticulum
185	P56716	Cytoplasm|Cytoskeleton|Cilium axoneme|Cell projection|Cilium|Photoreceptor outer segment|Specifically localized in the connecting cilia of rod and cone photoreceptors.	axoneme|ciliary tip|cilium|microtubule associated complex|photoreceptor cell cilium|photoreceptor connecting cilium|photoreceptor inner segment|photoreceptor outer segment
186	P11021	Endoplasmic reticulum lumen|Melanosome|Cytoplasm|Cell surface|Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:12643545). Localizes to the cell surface of epithelial cells in response to high levels of free iron (PubMed:20484814, PubMed:24355926, PubMed:27159390).	cell surface|cytoplasm|cytosol|endoplasmic reticulum|endoplasmic reticulum chaperone complex|endoplasmic reticulum lumen|endoplasmic reticulum membrane|endoplasmic reticulum-Golgi intermediate compartment|extracellular exosome|focal adhesion|intracellular membrane-bounded organelle|melanosome|membrane|midbody|mitochondrion|nucleus|plasma membrane|protein-containing complex
187	P11142	Cytoplasm|Melanosome|Nucleus|Nucleolus|Cell membrane|Lysosome membrane|Peripheral membrane protein|Cytoplasmic side|Localized in cytoplasmic mRNP granules containing untranslated mRNAs (PubMed:17289661). Translocates rapidly from the cytoplasm to the nuclei, and especially to the nucleoli, upon heat shock (PubMed:1586970).	autophagosome|blood microparticle|cell surface|clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane|cytoplasm|cytosol|dendritic shaft|dendritic spine|extracellular exosome|extracellular region|extracellular space|ficolin-1-rich granule lumen|focal adhesion|glutamatergic synapse|glycinergic synapse|intermediate filament|late endosome|lumenal side of lysosomal membrane|lysosomal lumen|lysosomal matrix|lysosomal membrane|melanosome|membrane|microtubule|nucleolus|nucleoplasm|nucleus|perikaryon|perinuclear region of cytoplasm|photoreceptor inner segment|photoreceptor ribbon synapse|plasma membrane|postsynaptic cytosol|postsynaptic density|postsynaptic specialization membrane|presynaptic cytosol|protein folding chaperone complex|Prp19 complex|ribonucleoprotein complex|secretory granule lumen|spliceosomal complex|synaptic vesicle|terminal bouton
188	P54652	Cytoplasm|Cytoskeleton|Spindle|Colocalizes with SHCBP1L at spindle during the meiosis process.	blood microparticle|CatSper complex|cell surface|cytoplasm|cytosol|extracellular exosome|male germ cell nucleus|meiotic spindle|membrane|nucleus|plasma membrane|synaptonemal complex
189	Q02818	Golgi apparatus|Cis-Golgi network membrane|Peripheral membrane protein|Lumenal side|Cytoplasm|Secreted|A small fraction of the protein may be cytoplasmic.	endoplasmic reticulum lumen|endoplasmic reticulum-Golgi intermediate compartment|extracellular exosome|extracellular space|Golgi apparatus|membrane
190	P38405	Not found Uniprot Annotation	cytoplasm|extracellular exosome|heterotrimeric G-protein complex|plasma membrane
191	P02768	Secreted	blood microparticle|cytoplasm|endoplasmic reticulum|endoplasmic reticulum lumen|extracellular exosome|extracellular region|extracellular space|Golgi apparatus|nucleus|platelet alpha granule lumen|protein-containing complex
192	P02763	Secreted	blood microparticle|collagen-containing extracellular matrix|extracellular exosome|extracellular region|extracellular space|platelet alpha granule lumen|specific granule lumen|tertiary granule lumen
193	P31944	Cytoplasm|Nucleus	cornified envelope|cytoplasm|cytosol|keratin filament|mitochondrion|nucleoplasm|nucleus
194	P31151	Cytoplasm|Secreted|Secreted by a non-classical secretory pathway.	azurophil granule lumen|collagen-containing extracellular matrix|cytoplasm|cytosol|endoplasmic reticulum|extracellular region|extracellular space|focal adhesion|nucleus
195	P06576	Mitochondrion inner membrane|Peripheral membrane protein|Matrix side	cell surface|extracellular exosome|membrane|mitochondrial inner membrane|mitochondrial matrix|mitochondrial membrane|mitochondrial nucleoid|mitochondrial proton-transporting ATP synthase complex|mitochondrial proton-transporting ATP synthase, catalytic core|mitochondrion|nucleus|plasma membrane|proton-transporting ATP synthase complex|proton-transporting ATP synthase complex, catalytic core F(1)
196	Q5JWF2	Cell membrane|Peripheral membrane protein|Apical cell membrane	apical plasma membrane|cytoplasm|cytosol|extracellular exosome|heterotrimeric G-protein complex|membrane
197	P47989	Cytoplasm|Peroxisome|Secreted	cytosol|extracellular space|peroxisome|sarcoplasmic reticulum
198	P81605	Secreted	extracellular exosome|extracellular region|membrane
199	P19652	Secreted	azurophil granule lumen|blood microparticle|collagen-containing extracellular matrix|extracellular exosome|extracellular region|extracellular space|platelet alpha granule lumen|specific granule lumen
200	P34931	Not found Uniprot Annotation	blood microparticle|cell body|cytoplasm|cytosol|mitochondrial matrix|nucleoplasm|nucleus|plasma membrane|vesicle|zona pellucida receptor complex
201	P17066	Not found Uniprot Annotation	blood microparticle|centriole|cytoplasm|cytosol|extracellular exosome|extracellular region|ficolin-1-rich granule lumen|nucleus|plasma membrane|secretory granule lumen
202	P25705	Mitochondrion|Mitochondrion inner membrane|Peripheral membrane protein|Matrix side|Cell membrane|Peripheral membrane protein|Extracellular side|Colocalizes with HRG on the cell surface of T-cells (PubMed:19285951).	cell surface|extracellular exosome|membrane|membrane raft|mitochondrial inner membrane|mitochondrial matrix|mitochondrial proton-transporting ATP synthase complex|mitochondrial proton-transporting ATP synthase, catalytic core|mitochondrion|plasma membrane|proton-transporting ATP synthase complex|proton-transporting ATP synthase complex, catalytic core F(1)
203	P05413	Cytoplasm	cytosol|extracellular exosome|extracellular space|nucleus
204	P15924	Cell junction|Desmosome|Cell membrane|Localizes at the intercalated disk in cardiomyocytes.	adherens junction|basolateral plasma membrane|cornified envelope|cytoplasm|desmosome|extracellular exosome|fascia adherens|ficolin-1-rich granule membrane|intercalated disc|intermediate filament|nucleus|plasma membrane
205	P0DMV9	Cytoplasm|Cytoplasm|Cytoskeleton|Microtubule organizing center|Centrosome|Localized in cytoplasmic mRNP granules containing untranslated mRNAs.	aggresome|blood microparticle|centriole|centrosome|cytoplasm|cytosol|endoplasmic reticulum|extracellular exosome|extracellular region|ficolin-1-rich granule lumen|focal adhesion|inclusion body|mitochondrion|nuclear speck|nucleoplasm|nucleus|perinuclear region of cytoplasm|plasma membrane|protein-containing complex|ribonucleoprotein complex|vesicle
206	Q86YZ3	Cytoplasmic granule|Found in keratohyalin granules in the granular cells of the epidermis.	azurophil granule lumen|collagen-containing extracellular matrix|cornified envelope|cytoplasm|extracellular exosome|extracellular region|keratohyalin granule|nucleus|perinuclear region of cytoplasm
207	Q02413	Cell membrane|Single-pass type I membrane protein|Cell junction|Desmosome|Cytoplasm|Nucleus	apical plasma membrane|cornified envelope|cytoplasm|cytoplasmic side of plasma membrane|cytosol|desmosome|ficolin-1-rich granule membrane|lateral plasma membrane|nucleus|plasma membrane
208	P01024	Secreted	azurophil granule lumen|blood microparticle|cell surface|endoplasmic reticulum lumen|extracellular exosome|extracellular region|extracellular space|plasma membrane|protein-containing complex|secretory granule lumen
209	P02652	Secreted	blood microparticle|chylomicron|cytosol|early endosome|endoplasmic reticulum lumen|extracellular exosome|extracellular region|high-density lipoprotein particle|spherical high-density lipoprotein particle|very-low-density lipoprotein particle
210	P35030	Secreted	extracellular region|extracellular space|tertiary granule lumen
211	P61626	Secreted	azurophil granule lumen|extracellular exosome|extracellular region|extracellular space|specific granule lumen|tertiary granule lumen
212	Q86SG5	Cytoplasm	collagen-containing extracellular matrix|cytoplasm|cytosol|extracellular space
213	Q13410	Membrane|Single-pass type I membrane protein|Secreted	external side of plasma membrane|extracellular space|plasma membrane
214	P06858	Cell membrane|Peripheral membrane protein|Extracellular side|Secreted|Secreted|Extracellular space|Extracellular matrix|Newly synthesized LPL binds to cell surface heparan proteoglycans and is then released by heparanase. Subsequently, it becomes attached to heparan proteoglycan on endothelial cells (PubMed:27811232). Locates to the plasma membrane of microvilli of hepatocytes with triglyceride-rich lipoproteins (TRL). Some of the bound LPL is then internalized and located inside non-coated endocytic vesicles (By similarity).	catalytic complex|cell surface|chylomicron|extracellular region|extracellular space|plasma membrane|very-low-density lipoprotein particle
215	Q99541	Membrane|Peripheral membrane protein|Lipid droplet	cytosol|endoplasmic reticulum|extracellular region|lipid droplet|nucleus|plasma membrane
216	P14923	Cell junction|Adherens junction|Cell junction|Desmosome|Cytoplasm|Cytoskeleton|Cell membrane|Peripheral membrane protein|Cytoplasm|Cell junction|Nucleus|Cytoplasmic in a soluble and membrane-associated form.	adherens junction|catenin complex|cell-cell junction|cornified envelope|cytoplasm|cytoplasmic side of plasma membrane|cytoskeleton|cytosol|desmosome|extracellular exosome|extracellular region|ficolin-1-rich granule lumen|focal adhesion|gamma-catenin-TCF7L2 complex|intercalated disc|intermediate filament|nucleus|plasma membrane|protein-DNA complex|specific granule lumen|Z disc|zonula adherens
217	P34096	Secreted|Detected in urine.	extracellular region|extracellular space
218	Q08431	Membrane|Peripheral membrane protein|Secreted|Cytoplasmic vesicle|Secretory vesicle|Acrosome membrane|Peripheral membrane protein|Located in the acrosomal region of zona-pellucida bound sperm.	acrosomal membrane|collagen-containing extracellular matrix|endoplasmic reticulum lumen|external side of plasma membrane|extracellular exosome|extracellular region|extracellular space|extracellular vesicle|membrane
219	Q08554	Cell membrane|Single-pass type I membrane protein|Cell junction|Desmosome	adherens junction|catenin complex|cornified envelope|desmosome|extracellular exosome|ficolin-1-rich granule membrane|gap junction|membrane|plasma membrane
220	P59665	Secreted	azurophil granule lumen|collagen-containing extracellular matrix|extracellular exosome|extracellular region|extracellular space|Golgi lumen
221	P59666	Secreted	azurophil granule lumen|extracellular exosome|extracellular matrix|extracellular region|extracellular space|Golgi lumen
222	P48741	Not found Uniprot Annotation	blood microparticle|cytoplasm|cytosol|extracellular exosome|nucleus|plasma membrane
223	Q01469	Cytoplasm|Nucleus|Synapse|Postsynaptic density|Secreted|Localizes primarily to the cytoplasm. Upon certain ligand binding, a conformation change exposes a nuclear localization motif and the protein is transported into nucleus (PubMed:24692551). Secreted by astrocytes, but not by neurons (By similarity).	azurophil granule lumen|cytoplasm|cytosol|extracellular exosome|extracellular region|nucleoplasm|nucleus|plasma membrane|postsynaptic density|secretory granule membrane|synapse
224	P14136	Cytoplasm|Associated with intermediate filaments.	astrocyte end-foot|cell body|cell projection|cytoplasm|cytoplasmic side of lysosomal membrane|cytosol|intermediate filament|intermediate filament cytoskeleton
225	P35998	Cytoplasm|Colocalizes with TRIM5 in cytoplasmic bodies.	cytoplasm|cytoplasmic ribonucleoprotein granule|cytosol|extracellular region|ficolin-1-rich granule lumen|membrane|nucleoplasm|nucleus|P-body|proteasome accessory complex|proteasome complex|proteasome regulatory particle, base subcomplex|secretory granule lumen
226	Q05639	Nucleus	cytoplasm|cytoplasmic side of lysosomal membrane|eukaryotic translation elongation factor 1 complex|synapse
227	P68104	Cytoplasm|Nucleus|Nucleus|Nucleolus|Cell membrane|Colocalizes with DLC1 at actin-rich regions in the cell periphery (PubMed:19158340). Translocates together with ZPR1 from the cytoplasm to the nucleus and nucleolus after treatment with mitogens (PubMed:8650580). Localization at the cell membrane depends on EEF1A1 phosphorylation status and the presence of PPP1R16B (PubMed:26497934).	cortical actin cytoskeleton|cytoplasm|cytoplasmic side of lysosomal membrane|cytosol|cytosolic ribosome|eukaryotic translation elongation factor 1 complex|extracellular exosome|extracellular region|extracellular space|ficolin-1-rich granule lumen|membrane|nucleolus|nucleus|plasma membrane|ribosome|ruffle membrane|secretory granule lumen
228	Q5VTE0	Cytoplasm	cytoplasm|extracellular exosome|extracellular space|nucleus
229	P02788	Isoform 1|Secreted|Cytoplasmic granule|Secreted into most exocrine fluids by various endothelial cells. Stored in the secondary granules of neutrophils.	cell surface|cytoplasm|early endosome|extracellular exosome|extracellular region|extracellular space|nucleus|phagocytic vesicle lumen|plasma membrane|protein-containing complex|recycling endosome|secretory granule|specific granule|specific granule lumen|tertiary granule lumen
230	P06702	Secreted|Cytoplasm|Cytoplasm|Cytoskeleton|Cell membrane|Peripheral membrane protein|Predominantly localized in the cytoplasm. Upon elevation of the intracellular calcium level, translocated from the cytoplasm to the cytoskeleton and the cell membrane (PubMed:18786929). Upon neutrophil activation or endothelial adhesion of monocytes, is secreted via a microtubule-mediated, alternative pathway (PubMed:15598812).	calprotectin complex|collagen-containing extracellular matrix|cytoplasm|cytoskeleton|cytosol|extracellular exosome|extracellular region|extracellular space|nucleus|plasma membrane|S100A9 complex|secretory granule lumen
231	Q9NZT1	Not found Uniprot Annotation	extracellular region|ficolin-1-rich granule lumen
232	P23396	Cytoplasm|Nucleus|Nucleus|Nucleolus|Mitochondrion inner membrane|Peripheral membrane protein|Cytoplasm|Cytoskeleton|Spindle|In normal cells, located mainly in the cytoplasm with small amounts in the nucleus but translocates to the nucleus in cells undergoing apoptosis (By similarity). Nuclear translocation is induced by DNA damaging agents such as hydrogen peroxide (PubMed:17560175). Accumulates in the mitochondrion in response to increased ROS levels (PubMed:23911537). Localizes to the spindle during mitosis (PubMed:23131551). Localized in cytoplasmic mRNP granules containing untranslated mRNAs (PubMed:17289661).	cytoplasm|cytosol|cytosolic ribosome|cytosolic small ribosomal subunit|endoplasmic reticulum|extracellular exosome|focal adhesion|membrane|mitochondrial inner membrane|mitochondrial matrix|mitotic spindle|NF-kappaB complex|nucleolus|nucleoplasm|nucleus|plasma membrane|postsynaptic density|ribonucleoprotein complex|ribosome|ruffle membrane
233	A5A3E0	Cytoplasm|Cell cortex|Colocalizes with actin filaments.	actin filament|axon|blood microparticle|cell cortex|cytoplasm|extracellular exosome|extracellular space|membrane|NuA4 histone acetyltransferase complex|synapse
234	P0CG39	Not found Uniprot Annotation	actin filament|axon|cytoplasm|extracellular exosome|extracellular space|membrane|NuA4 histone acetyltransferase complex|synapse
235	Q6S8J3	Not found Uniprot Annotation	actin filament|axon|blood microparticle|cytoplasm|extracellular exosome|extracellular space|membrane|NuA4 histone acetyltransferase complex|synapse
236	P0CG38	Not found Uniprot Annotation	actin filament|axon|cytoplasm|extracellular exosome|extracellular space|membrane|NuA4 histone acetyltransferase complex|synapse
237	P02655	Secreted	chylomicron|early endosome|extracellular region|extracellular space|intermediate-density lipoprotein particle|low-density lipoprotein particle|spherical high-density lipoprotein particle|very-low-density lipoprotein particle
238	P14207	Cell membrane|Lipid-anchor|GPI-anchor|Secreted	cell surface|external side of plasma membrane|extracellular region|plasma membrane
239	P56693	Cytoplasm|Nucleus|Mitochondrion outer membrane|Peripheral membrane protein|Cytoplasmic side	chromatin|mitochondrial outer membrane|nucleoplasm|nucleus
240	Q06830	Cytoplasm|Melanosome|Identified by mass spectrometry in melanosome fractions from stage I to stage IV.	cytoplasm|cytosol|extracellular exosome|extracellular space|melanosome|nucleus
241	Q9UM21	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A|Golgi apparatus membrane|Single-pass type II membrane protein	endoplasmic reticulum|endoplasmic reticulum lumen|endoplasmic reticulum-Golgi intermediate compartment|extracellular exosome|Golgi membrane|Golgi stack|peroxisome
242	P16671	Cell membrane|Multi-pass membrane protein|Membrane raft|Golgi apparatus|Apical cell membrane|Upon ligand-binding, internalized through dynamin-dependent endocytosis.	apical plasma membrane|brush border membrane|caveola|cell periphery|cell surface|cytoplasm|endocytic vesicle membrane|external side of plasma membrane|extracellular space|Golgi apparatus|membrane|membrane raft|phagocytic vesicle|plasma membrane|platelet alpha granule membrane|receptor complex|specific granule membrane
243	Q8N8B7	Not found Uniprot Annotation	nucleus
244	P25311	Secreted	collagen-containing extracellular matrix|external side of plasma membrane|extracellular exosome|extracellular region|extracellular space|nucleus
245	A6NMY6	Secreted|Extracellular space|Extracellular matrix|Basement membrane|Melanosome|In the lamina beneath the plasma membrane. In melanosome fractions from stage I to stage IV. Translocated from the cytoplasm to the cell surface through a Golgi-independent mechanism.	basement membrane|cytoplasm|extracellular exosome|melanosome|nucleus|plasma membrane
246	P07355	Secreted|Extracellular space|Extracellular matrix|Basement membrane|Melanosome|In the lamina beneath the plasma membrane. Identified by mass spectrometry in melanosome fractions from stage I to stage IV. Translocated from the cytoplasm to the cell surface through a Golgi-independent mechanism.	adherens junction|AnxA2-p11 complex|azurophil granule lumen|basement membrane|basolateral plasma membrane|cell surface|collagen-containing extracellular matrix|cornified envelope|cytoplasm|cytosol|early endosome|endosome|extracellular exosome|extracellular region|extracellular space|late endosome membrane|lipid droplet|lysosomal membrane|melanosome|membrane|midbody|myelin sheath adaxonal region|nuclear matrix|nucleus|PCSK9-AnxA2 complex|plasma membrane|plasma membrane protein complex|RNA polymerase II transcription regulator complex|sarcolemma|Schmidt-Lanterman incisure|vesicle
247	P02656	Secreted	chylomicron|collagen-containing extracellular matrix|early endosome|extracellular exosome|extracellular region|extracellular space|intermediate-density lipoprotein particle|spherical high-density lipoprotein particle|very-low-density lipoprotein particle
